ToM (+2400000);Ucrt(d);Type;E,Phi;P_Shift;E GCVS;O-C (d);Observer;Reference (see bibliography);source
29070.1980;0.150;pg;-6727.58;0;-6728;1.570;Opolski 1948;Szabados 1977;ADS
29249.1630;0.150;pg;-6679.58;0;-6680;1.560;Bennett 1941;Turner 2007 tab. 3;ADS
29267.3930;0.150;pe;-6674.69;0;-6675;1.150;Bennett 1941;Szabados 1977;ADS
29603.2720;0.150;pe;-6584.61;0;-6585;1.470;Bennett 1941;Szabados 1991;ADS
29625.6920;0.150;pg;-6578.59;0;-6579;1.510;Bennett 1941;Turner 2007 tab. 3;ADS
32955.0260;0.150;pe;-5685.65;0;-5686;1.310;Eggen et al. 1957;Turner 2007 tab. 3;ADS
33141.3920;0.150;pe;-5635.66;0;-5636;1.250;Eggen et al. 1957;Szabados 1991;ADS
33640.9500;0.050;pe;-5501.68;0;-5502;1.190;Eggen et al. 1957;Meyer 2023;ADS
34405.2620;0.150;pe;-5296.69;0;-5297;1.170;Eggen et al. 1957;Turner 2007 tab. 3;ADS
34427.8190;0.150;pe;-5290.64;0;-5291;1.350;Eggen;Eggen 1957;ADS
34539.4200;0.150;vis;-5260.71;0;-5261;1.100;Marks 1959;Szabados 1977;ADS
35057.7900;0.150;vis;-5121.68;0;-5122;1.210;Marks 1959;Szabados 1977;ADS
35799.6010;0.150;pe;-4922.72;0;-4923;1.050;Prokof'yeva 1961;Szabados 1991;ADS
35821.9970;0.150;un.;-4916.71;0;-4917;1.080;Prokof'yeva 1961;Turner 2007 tab. 3;ADS
35881.6110;0.050;pe;-4900.72;0;-4901;1.040;Bahner&Mavridis;Szabados 1991;BAV
36146.2190;0.150;pe;-4829.75;0;-4830;0.920;Wisniewski&Johnson 1968;Schaltenbrand&Tammann 1971;ADS
36202.2390;0.050;pe;-4814.73;0;-4815;1.010;Bahner&Mavridis;Szabados 1991;BAV
36616.0720;0.050;pe;-4703.74;0;-4704;0.990;Bahner&Mavridis;Szabados 1991;BAV
37022.6100;0.150;B;-4594.70;0;-4595;1.120;(MUP) Mitchell et al. 1964;AAVSO this paper;AAVSO
37126.8060;0.150;V;-4566.75;0;-4567;0.920;Mitchell et al. 1964;Turner 2007 tab. 3;ADS
37339.3500;0.150;pe;-4509.75;0;-4510;0.940;Mitchell et al. 1964;Szabados 1991;ADS
37872.4540;0.150;vis;-4366.77;0;-4367;0.870;Tsai 1972;Szabados 1977;ADS
37995.4230;0.150;pe;-4333.79;0;-4334;0.800;Williams 1966;Szabados 1991;ADS
38010.3070;0.150;V;-4329.79;0;-4330;0.770;Williams 1966;Turner 2007 tab. 3;ADS
38424.1950;0.150;un.;-4218.79;0;-4219;0.790;Wisniewski&Johnson 1968;Turner 2007 tab. 3;ADS
38692.6240;0.150;V;-4146.79;0;-4147;0.770;Kelsall;Fernie 1993;ADS
38920.0470;0.150;pe;-4085.80;0;-4086;0.760;Wisniewski&Johnson 1968;Szabados 1991;ADS
39132.5080;0.150;un.;-4028.81;0;-4029;0.690;Takase 1969;Turner 2007 tab. 3;ADS
39147.4290;0.150;un.;-4024.81;0;-4025;0.700;Wisniewski&Johnson 1968;Turner 2007 tab. 3;ADS
39359.9600;0.150;pe;-3967.81;0;-3968;0.710;Takase 1969;Szabados 1991;ADS
40079.4640;0.150;vis;-3774.84;0;-3775;0.610;un.;Turner 2007 tab. 3;AAVSO
40131.7460;0.150;V;-3760.81;0;-3761;0.700;Feltz & McNamara;Fernie 1993;ADS
40351.5950;0.150;vis;-3701.85;0;-3702;0.570;un.;Turner 2007 tab. 3;AAVSO
40575.2400;0.050;pe;-3641.87;0;-3642;0.500;Feltz & McNamara;Meyer 2023;ADS
40675.9240;0.150;vis;-3614.86;0;-3615;0.520;Hen;Turner 2007 tab. 3;AAVSO
40843.8310;0.050;pe;-3569.83;0;-3570;0.640;Feltz & McNamara;Szabados 1991;ADS
40929.5800;0.150;vis;-3546.83;0;-3547;0.640;un.;AAVSO Berdnikov 2003;AAVSO
40970.5690;0.150;V;-3535.84;0;-3536;0.610;Evans;Fernie 1993;ADS
40981.7560;0.150;un.;-3532.84;0;-3533;0.610;Feltz & McNamara;Turner 2007 tab. 3;ADS
40992.8600;0.150;vis;-3529.86;0;-3530;0.530;un.;AAVSO Berdnikov 2003;AAVSO
40996.6410;0.150;un.;-3528.84;0;-3529;0.580;Evans 1976;Turner 2007 tab. 3;ADS
41030.2380;0.150;vis;-3519.83;0;-3520;0.630;Henden 2006;Turner 2007 tab. 3;AAVSO
41239.0180;0.150;pe;-3463.84;0;-3464;0.610;Winzer;Winzer 1973;ADS
41250.2060;0.150;un.;-3460.84;0;-3461;0.610;Winzer 1973;Turner 2007 tab. 3;ADS
41429.0960;0.050;pe;-3412.86;0;-3413;0.540;Winzer 1973;Szabados 1991;ADS
41429.1150;0.150;pe;-3412.85;0;-3413;0.550;Winzer 1973;Szabados 1977;ADS
41705.0700;0.150;un.;-3338.84;0;-3339;0.600;Szabados 1977;Turner 2007 tab. 3;ADS
41723.7110;0.150;pe;-3333.84;0;-3334;0.600;Szabados;Szabados 1977;ADS
41723.7500;0.050;pe;-3333.83;0;-3334;0.640;Szabados;Meyer 2023;ADS
41761.1400;0.150;vis;-3323.80;0;-3324;0.740;Small 1973;Szabados 1977;ADS
41854.2010;0.150;vis;-3298.84;0;-3299;0.590;un.;Turner 2007 tab. 3;AAVSO
41954.8400;0.150;vis;-3271.85;0;-3272;0.560;un.;AAVSO Berdnikov 2003;AAVSO
42100.2960;1.150;V;-3232.84;0;-3233;0.610;Szabados;Szabados 1977;CDB
42137.4730;0.150;vis;-3222.87;0;-3223;0.500;un.;Turner 2007 tab. 3;AAVSO
42361.1550;0.050;V;-3162.87;0;-3163;0.470;Arellano Ferro;Pena et al. 2010;ADS
42361.1900;0.050;pg;-3162.86;0;-3163;0.510;Berdnikov;Meyer 2023;CDB
42361.2360;0.050;pe;-3162.85;0;-3163;0.550;un.;Meyer 2023;ADS
42450.7000;0.150;vis;-3138.86;0;-3139;0.530;FGR (Figer);Busquets 1982;GEOS
42450.7300;0.150;vis;-3138.85;0;-3139;0.560;RMS (Rémis);Busquets 1982;GEOS
42458.1700;0.150;vis;-3136.85;0;-3137;0.550;RAL (Ralincourt);Busquets 1982;GEOS
42521.4600;0.150;vis;-3119.88;0;-3120;0.450;TRP (Troispoux);Busquets 1982;GEOS
42525.2770;0.150;vis;-3118.85;0;-3119;0.540;un.;Turner 2007 tab. 3;AAVSO
42532.6500;0.150;vis;-3116.88;0;-3117;0.460;ROL (Rolland);Busquets 1982;GEOS
42562.5200;0.150;vis;-3108.87;0;-3109;0.500;un.;AAVSO Berdnikov 2003;AAVSO
42752.8400;0.150;vis;-3057.82;0;-3058;0.670;POI (Poretti);Busquets 1982;GEOS
42756.3800;0.150;vis;-3056.87;0;-3057;0.480;un.;AAVSO Berdnikov 2003;AAVSO
42804.8800;0.150;vis;-3043.86;0;-3044;0.510;un.;AAVSO Berdnikov 2003;AAVSO
42838.2000;0.150;vis;-3034.93;0;-3035;0.270;ROY (Royer);Busquets 1982;GEOS
42838.4100;0.150;vis;-3034.87;0;-3035;0.480;Coll.;Boninsegna 1982;GEOS
42845.8700;0.150;vis;-3032.87;0;-3033;0.490;GUI (Guiraudou);Busquets 1982;GEOS
42856.9000;0.150;vis;-3029.91;0;-3030;0.330;FRL (Frangeul);Busquets 1982;GEOS
42864.5100;0.150;vis;-3027.87;0;-3028;0.480;MIS (Misson);Busquets 1982;GEOS
42920.4120;0.150;vis;-3012.88;0;-3013;0.460;un.;Turner 2007 tab. 3;AAVSO
43170.2700;0.150;vis;-2945.86;0;-2946;0.510;LTL (Letellier);Busquets 1982;GEOS
43181.2700;0.150;vis;-2942.91;0;-2943;0.320;FLB (Le Borgne);Busquets 1982;GEOS
43181.3800;0.150;vis;-2942.88;0;-2943;0.430;WAB (Wabnitz);Busquets 1982;GEOS
43185.0700;0.150;vis;-2941.89;0;-2942;0.390;BUZ (Buzzoni);Busquets 1982;GEOS
43188.8700;0.150;vis;-2940.88;0;-2941;0.460;FRL (Frangeul);Busquets 1982;GEOS
43203.7900;0.150;vis;-2936.87;0;-2937;0.470;POI (Poretti);Busquets 1982;GEOS
43222.4600;0.150;vis;-2931.87;0;-2932;0.500;ALB (Albert);Busquets 1982;GEOS
43241.1860;0.150;vis;-2926.84;0;-2927;0.580;un.;Turner 2007 tab. 3;AAVSO
43244.3400;0.050;vis;-2926.00;0;-2926;0.010;Reichenbaecher;Meyer 2023;ADS
43490.8700;0.150;vis;-2859.88;0;-2860;0.460;GUI (Guiraudou);Busquets 1982;GEOS
43494.4900;0.100;vis;-2858.91;0;-2859;0.350;MIS (Misson);GEOS pr. com.;GEOS
43535.5400;0.150;vis;-2847.90;0;-2848;0.390;POI (Poretti);Busquets 1982;GEOS
43539.2860;0.150;un.;-2846.89;0;-2847;0.400;Moffett & Barnes 1984;Turner 2007 tab. 3;ADS
43546.7900;0.150;vis;-2844.88;0;-2845;0.450;BUZ (Buzzoni);Busquets 1982;GEOS
43550.3700;0.150;vis;-2843.92;0;-2844;0.300;PMP (Pampaloni);Busquets 1982;GEOS
